Name,Description,Problem,Usage(s),Examples
Aesthetic-Usability Effect,"A user's perception that attractive products are more usable upon first impression. Users believe that designs that look more pleasing will work better, even if it is not more functional",Filtering,Use clean visual design to increase forgiveness for minor issues.; Invest in polish for first-run and high-traffic surfaces.,Refined empty states reduce perceived complexity. • Micro-interactions smooth rough edges in forms. • Consistent typography makes dense tables feel lighter. • Visual hierarchy clarifies noisy dashboards. • Delightful loading states mask brief waits.
Anchoring,A user's tendency to focus on an initial impression or piece of information. This is likely to affect subsequent choices and evaluations as users navigate the product.,Filtering,Show a high 'was' price next to the current price to set a favorable reference.; Order plans from highest to lowest to make mid-tier look balanced.,"Pricing page lists an Enterprise plan first at €299 before Pro at €99. • Compare at price crossed out (""€149"" → now ""€89""). • Bundle shows original item totals before discounted bundle total. • Search filters pre-fill with a wide range, making selected range feel moderate. • Onboarding suggests 'Recommended: 20 tasks/week' as a default benchmark."
Banner Blindness,Behavior in which users ignore banners and other elements that can be perceived as advertising. Users have become used to ignoring elements that are likely to hold advertising or information that is not relevant to needs.,Filtering,Avoid ad-like patterns for important content.; Integrate promotions within native content blocks.,"No flashing banners for critical alerts. • Promos styled as cards within feed grid. • Cookie notice designed as inline bar, not modal. • Educational tips positioned in context near controls. • Important system alerts use app-native styling."
Center-Stage Effect,Users pay more attention to information that is centered on a page. This is due to the visual tendency to look towards the focal point.,Filtering,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering center-stage effect. • Applied during pricing page considering center-stage effect. • Applied during checkout considering center-stage effect. • Applied during search & filters considering center-stage effect. • Applied during notifications considering center-stage effect.
Cognitive Load,"The effort required to process and understand information, as well as the required effort to perform tasks. Elevated levels of cognitive load can lead to user frustration and decreased performance, while low levels of cognitive load can allow users to process and retain information more easily.",Filtering,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering cognitive load. • Applied during pricing page considering cognitive load. • Applied during checkout considering cognitive load. • Applied during search & filters considering cognitive load. • Applied during notifications considering cognitive load.
Confirmation Bias,"We look for information that supports our existing beliefs and ignore what doesn’t. Mental shortcuts, overconfidence and a desire to appear consistent lead us to maintain flawed, one-sided viewpoints that cause poor decisions.",Sense-making,Present balanced evidence; avoid leading copy.; Offer comparison views that include disconfirming data.,"A/B report highlights wins and losses with equal salience. • Search exposes alternative categories when results are narrow. • Explainers show trade-offs, not only benefits. • Recommendations include 'diverse picks' lane. • Filters include 'show excluded items' option."
Decision Fatigue,"The reduced ability of users to make decisions after an extended period of decision-making. This occurs because the mental effort required to make decisions can be exhausting, leading users to become less selective and more likely to choose the default or easiest option.",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering decision fatigue. • Applied during pricing page considering decision fatigue. • Applied during checkout considering decision fatigue. • Applied during search & filters considering decision fatigue. • Applied during notifications considering decision fatigue.
Decoy Effect,"Effect where users will choose one option over another based on the presence of a third, less attractive option. This can occur because the presence of the decoy option can alter the face value of the other options, making one of them appear more appealing.",Filtering,Introduce a dominated plan to steer choice toward the target plan.; Use asymmetric options to clarify value tradeoffs.,Three-tier pricing with a clearly inferior middle plan nudging to premium. • Annual billing option priced so monthly appears wasteful. • Add-on bundle that is slightly cheaper than buying main item alone. • Two seat bundles where the 3-seat is only slightly more than 2-seat. • Shipping options where 'Express' makes 'Standard Plus' feel sensible.
Default Bias,"The tendency for users to stick with the default option when given a choice. This can occur because users may perceive the default option as the safest or the recommended choice, or because they simply prefer to stick with the status quo.",Efficiency,"Preselect privacy-safe, recommended defaults to reduce friction.; Use opt-in toggles for non-essential features to respect consent.",Newsletter checkbox off by default for GDPR compliance. • Dark mode auto-selected based on OS preference. • Preselected size or variant based on last purchase. • Recommended security settings enabled at signup. • Saved delivery address auto-selected at checkout.
Discoverability,"The ease with which users can find and learn about new features in a product. This includes the visibility of features, as well as the clarity of the instructions or guidance provided to help users understand how to use them.",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering discoverability. • Applied during pricing page considering discoverability. • Applied during checkout considering discoverability. • Applied during search & filters considering discoverability. • Applied during notifications considering discoverability.
Doherty Threshold,"A response time of 400ms is suggested to keep user’s attention. The point at which a user becomes frustrated with a slow-loading website or application. This threshold is influenced by the user's expectations and the context in which they are using the product, as well as the overall speed of the product.",Efficiency,Keep interactions sub-400ms to maintain flow.; Use optimistic UI when safe.,Inline form validation without page reload. • Skeleton screens to indicate immediate response. • Optimistic 'Saved' state on toggles. • Preloading likely next route. • Local caching for instant search suggestions.
Familiarity Bias,"When something is repeated it becomes familiar, and because it's familiar we like it more.

If you usually buy in Amazon, you would likely prefer to continue using for amazon for buying since I know it, how to use it, I'm used to the experience, it becomes familiar to me. ",Recall,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering familiarity bias. • Applied during pricing page considering familiarity bias. • Applied during checkout considering familiarity bias. • Applied during search & filters considering familiarity bias. • Applied during notifications considering familiarity bias.
Fitt’s Law,"The time it takes for a person to move their hand to a target area, based on the distance and size of the target. This law is often used to predict the time it takes for users to select items on a computer screen, such as icons or menu items.",Filtering,Make frequent targets larger/closer; space destructives.; Increase hit area on mobile for key actions.,Primary CTA is full-width on mobile. • Sticky bottom nav for thumb reachability. • Larger close target on modals. • Generous padding on segmented controls. • Destructive actions separated and smaller.
Fresh Start Effect,"The tendency for people to make more progress on goals when they have a clean slate. This can occur because starting anew can provide a sense of motivation and a renewed sense of purpose, as well as a feeling of control over the goal.",Sense-making,Leverage temporal landmarks to re-engage users.; Reset streaks/goals thoughtfully to spur action.,"“New week, new goals” nudges on Mondays. • Quarterly health check prompts. • Year-in-review leading to new projects. • Monthly budget reset reminders. • Birthday-based wellness challenges."
Goal Gradient Effect,"People are more motivated to complete a task as they get closer to their goal. This can occur because the closer a person is to achieving a goal, the more they perceive the reward as being attainable, which increases their motivation to continue working towards it.",Sense-making,Show visible progress to accelerate completion near the end.; Break tasks into steps with a clear progress bar.,Checkout steps labeled 1–4 with a progress bar. • Loyalty card shows 7/10 stamps filled. • Profile completeness meter at 80% nudges final steps. • Upload queue shows items remaining count. • Badges unlock as user nears streak milestones.
Hick’s Law,"Hick's Law states that the time and effort needed to make a decision increases with the number of options. This means more choices lead to longer decision times.

References:
https://uxplanet.org/design-principles-hicks-law-quick-decision-making-3dcc1b1a0632https://www.interaction-design.org/literature/article/hick-s-law-making-the-choice-easier-for-usershttps://www.smashingmagazine.com/2012/02/redefining-hicks-law/",Filtering,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering hick’s law. • Applied during pricing page considering hick’s law. • Applied during checkout considering hick’s law. • Applied during search & filters considering hick’s law. • Applied during notifications considering hick’s law.
Hyperbolic Discounting,"Users lean towards immediate rewards more highly than future rewards. This can occur because people have a stronger desire for immediate gratification, and are therefore more likely to choose a smaller, immediate reward over a larger, future reward.",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering hyperbolic discounting. • Applied during pricing page considering hyperbolic discounting. • Applied during checkout considering hyperbolic discounting. • Applied during search & filters considering hyperbolic discounting. • Applied during notifications considering hyperbolic discounting.
IKEA Effect,People tend to value products more highly when they have contributed to their creation or construction. There is a sense of ownership and pride in products that they have helped to create and are therefore more likely to value them more highly.,Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering ikea effect. • Applied during pricing page considering ikea effect. • Applied during checkout considering ikea effect. • Applied during search & filters considering ikea effect. • Applied during notifications considering ikea effect.
Investment Loops,"Design patterns that users are more likely to engage with if they have invested time or effort into it. Users often value things more highly when they have invested in them, can also be in terms of physical terms like money.",Efficiency,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering investment loops. • Applied during pricing page considering investment loops. • Applied during checkout considering investment loops. • Applied during search & filters considering investment loops. • Applied during notifications considering investment loops.
Jakob’s Law,Users will have certain expectations about the functionality and usability of a product based on their experiences with related products. Users prefer designs that are similar to ones they have used before.,Sense-making,Design copy and layout to mitigate the bias when it harms user goals.; Leverage the bias ethically to reduce friction or increase clarity.,Applied during onboarding flow considering jakob’s law. • Applied during pricing page considering jakob’s law. • Applied during checkout considering jakob’s law. • Applied during search & filters considering jakob’s law. • Applied during notifications considering jakob’s law.
