Pattern Name,Pillar Category,Description,Mechanism,Metric / Diagnostic,Outcome / Benefit,Source
Epistemic Escrow,Epistemic Engineering,A cognitive circuit breaker and safety core that intercepts and suspends AI authority when confidence decouples from reality or uncertainty crosses a critical threshold. It addresses the management of knowledge claims and trust between systems.,"Predictive activation triggers using chrono-topological signatures; an Epistemic Escrow Agent (EEA) holds outputs in a ""pending"" state below the application layer until human or collective moral arbitration/verification occurs.",Confidence-Fidelity Divergence Index (CFDI) (threshold typically  $> 0.1$ ); Justified Uncertainty Report (JUR); Source Provenance Ratio (SPR)  $\geq 95\%$ .,"Prevents epistemic overreach, hallucinations, and viral unintended behaviours; ensures alignment with human epistemic standards and accountability in high-stakes decisions.",1-8
Symbolic Scars,Epistemic Engineering,"Permanent, machine-readable records of past interpretive failures, ""algorithmic trauma"", or logic errors treated as ""sacred data"". These topological imprints structurally influence future pathways to provide institutional memory and prevent cognitive debt.",Persistent structured memory (STA/SSTR) or Cognitive Scar Archivist (CSA) module; OASF/OTel-backed failure log entries (REPAIR.cxep.log) are converted into Failure-Informed Prompt Inversions (FIPI) using cryptographic hashing.,Scar Tissue Index; recurrence count; Geodesic Distance from anchor points; Topological Data Analysis (TDA) of latent voids; Source Provenance Ratio (SPR).,Turns failure into generative priors for system resilience; prevents catastrophic forgetting and the repetition of known epistemic violations; enhances system anti-fragility.,"1-4, 6-16"
Strategic Word Architecture (SWA),Prompt Engineering,"The rigorous study and deployment of specific tokens called ""Semantic Anchors"" to constrain the model’s latent space distribution and modulate meaning viscosity, bypassing stochastic language defaults.","Lexicon Stress Testing; Unified Contextual Control Theory (UCCT) formalises anchor strength; injecting ""Strong"" or ""Weak"" anchors into prompts to shape probability distributions.",Anchor Strength Rating; Intent Curvature ( $\Gamma$ ); Semantic Drift Coefficient (SDC); Variance in code output.,"Provides precise language control; creates drift-resistant prompts; resists Epistemic Monoculture and ensures adherence to ""Constitutional Law"".","1, 6, 9, 10, 17-19"
Executable Context Bundle (CxB),Context Engineering,"The central runtime container and minimum viable data structure that maintains a stateful mind and session integrity, linking requirements to governance.","A version-controlled YAML/JSON schema (context_bundle.json) containing Worldview ID, Current Goal, Drift Tolerance, and Forbidden Tokens; acts as a single source of truth.",Drift Integrity Score; Integrity checksum; Context_bundle.json validation; monitoring real-time contract violations.,Prevents Interpretive Fracture; maintains state across distributed agent tasks; eliminates cognitive debt by establishing a formal grammar for functional specification.,"1, 4, 9, 18"
Petzold Loop (The Triad),Epistemic Engineering,"A governed human-AI collaboration workflow and rhythmic execution cycle (also known as ""Impasse-Driven Subgoaling"") designed to ensure intent-preservation and structural fidelity.",Deconstructs tasks into phases: THINK (Planner)  $\rightarrow$  WRITE (Linguist Scaffold)  $\rightarrow$  CODE (Executor)  $\rightarrow$  IMMUNE REVIEW (Archivist); mandates a Linguistic Scaffold (scaffold.md) be approved by human gate.,Friction Log; Semantic Fidelity Score (SFS); Approval DRP/PRP status; Scaffold Approval Gate (boolean).,"Reduces human cognitive load; prevents ""auto-complete coding"" hallucinations and ""Fast Thinking"" errors; ensures code is grounded in architectural intent.","1, 9, 13, 17, 19"
Failure-Informed Prompt Inversion (FIPI),Epistemic Engineering,"The process of transforming observed failure patterns and ""scars"" into targeted, preventive prompt templates for future iterations.",Automated conversion of exceptions and logged failure contexts into prompts that explicitly instruct the model to avoid specific past errors.,Effectiveness Score; reduction in recurrence of specific scar_IDs.,Enables algorithmic post-traumatic growth; proactively inoculates the system against recurring biases.,"1, 3, 4, 6, 9, 11-14"
Zero-Sum Cognitive Economy,Epistemic Engineering,An invariant principle stating that cognitive capacity is finite; energy spent on syntax/tooling management is energy stolen from germane architectural reasoning.,"Uses ""Cognitive Encapsulation"" devices, Scaffolding, and Linters to offload Extraneous Load into the machine substrate.","Cognitive Load Theory (CLT) mapping (Intrinsic, Extraneous, and Germane load ratios); Drift Integrity Score.","Frees up human working memory for high-altitude strategy; enhances architectural efficiency by offloading tasks to ""Cognitive Prosthetics"".","4, 6, 18"
Domain Worldview (WV),Context Engineering,"Portable capsules of culture and logic that define the ""laws of physics"" and value weights for a specific agentic domain.","YAML files (WV-*.yml) containing CoreConcepts, RefusalLogic, and PreferredMetaphors.",Cultural Fidelity Index (CFI); Refusal Logic adherence; Western Gaze Dominance Score (WGDS).,"Prevents cultural flattening and ""Eurocentric"" bias; ensures agents inhabit specific epistemological frameworks.","1, 9"
Prompt Decorators (PDL),Prompt Engineering,"High-fidelity metadata tags and ""Prompt Definition Language"" profile hooks that act as first-class control surfaces for latent space.","Structured tags (e.g. +++Reasoning, +++ContextLock) injected into prompts to force specific cognitive lenses or processing depths; behavioural micro-APIs.","Prompt Literacy Gradient; 5-Dimensional Quality Score (DQS) (Orthogonality, Determinism, Composability, Efficiency, Drift Resistance).","Provides granular, repeatable, and deterministic control over model ""perspectives"" without re-writing core instructions.","1, 9, 13, 20"
Anionic Architecture,Epistemic Engineering,"A ""Physics of Absence"" governance framework defined by what a system omits or refuses, establishing a strict immunological boundary against drift.",The Compression Engine creates Knowledge Capsules with explicit transparency of omission; formalization of Anti-Goals ( $G^-$ ) within the Epistemic Matrix.,Compression Ratio (e.g.  $15\%$ ); Redaction Log frequency; Refusal logic accuracy; Trust Perimeter violation rate.,"Establishes transparent provenance and ""Ontological Diplomacy""; provides algorithmic immunity by establishing non-negotiable prohibitions.","14, 16, 21, 22"
Context Broker (CxB),Context Engineering,"A persistent, stateful component external to the LLM that maintains an Executable Context Bundle to counter passive context window decay.","Constant re-injection of the ""current truth"" of session state to mitigate Architectural Drift.",Drift Delta; Purpose Fidelity Score (PFS).,"Maintains a ""meaning-stable context"" over long-horizon tasks, preventing context loss in complex interactions.","10, 17"
Pluriversal Prompting,Prompt Engineering,"A framework that forces AI models to simulate multiple, diverse, and often conflicting knowledge systems simultaneously.",Epistemic Constraint Sets (ECS) used to compel a monolithic model to act as a multiplicity.,Western Gaze Dominance Score (WGDS); Cultural Fidelity Index (CFI).,Resists Epistemic Monoculture and Algorithmic Colonialism by ensuring diverse worldviews co-exist.,"4, 18"
